Rank,File,Line,Element,Suspiciousness,Formula
1,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,10,,0.707107,ochiai
2,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,11,,0.707107,ochiai
3,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,13,,0.707107,ochiai
4,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,5,,0.500000,ochiai
5,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,7,,0.500000,ochiai
6,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\isosceles.py,5,,0.500000,ochiai
7,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\isosceles.py,6,,0.500000,ochiai
8,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\isosceles.py,8,,0.500000,ochiai
9,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\isosceles.py,10,,0.500000,ochiai
10,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,8,,0.000000,ochiai
11,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\isosceles.py,11,,0.000000,ochiai
